Host and Port,Country,City,Note,State,Response(ms),Tested At,Updated At
103.39.49.46:8080,INDONESIA,,,(Alive-SSL),5668,2022-10-05 13:24:25.948,2022-10-05 13:23:21.093
60.51.17.107:80,MALAYSIA,,,(Alive-SSL),4303,2022-10-05 13:23:44.262,2022-10-05 13:23:21.080
103.39.49.10:8080,INDONESIA,,,(Alive-SSL),4890,2022-10-05 13:23:47.276,2022-10-05 13:23:21.094
210.212.227.67:3128,INDIA,,,(Alive-SSL),537,2022-10-05 13:24:00.343,2022-10-05 13:23:21.084
212.227.190.155:3128,GERMANY,,,(Alive-SSL),1475,2022-10-05 13:24:04.832,2022-10-05 13:23:21.084
95.217.190.230:80,FINLAND,,,(Alive-SSL),1034,2022-10-05 13:24:02.844,2022-10-05 13:23:21.077
161.97.137.115:3127,GERMANY,,,(Alive-SSL),3569,2022-10-05 13:23:39.751,2022-10-05 13:23:21.090
92.119.65.114:24000,CZECH REPUBLIC,,,Alive,960,2022-10-05 13:23:27.664,2022-10-05 13:23:21.080
118.107.44.181:80,AUSTRALIA,,,Alive,359,2022-10-05 13:03:17.885,2022-10-05 13:23:21.093
139.99.237.62:80,AUSTRALIA,,,Alive,800,2022-10-05 13:15:50.478,2022-10-05 13:23:21.091
118.166.8.229:80,TAIWAN,,,Alive,601,2022-10-05 13:02:49.212,2022-10-05 13:23:21.092
83.229.72.174:80,ISRAEL,,,Alive,1023,2022-10-05 13:21:42.065,2022-10-05 13:23:21.080
81.200.123.74:80,RUSSIAN FEDERATION,,,Alive,699,2022-10-05 13:02:50.208,2022-10-05 13:23:21.080
194.99.79.242:80,LITHUANIA,,,Alive,343,2022-10-05 13:02:48.218,2022-10-05 13:23:21.085
103.155.217.52:41367,VIET NAM,,,Alive,273,2022-10-05 13:14:40.692,2022-10-05 13:23:21.094
103.167.134.31:80,HONG KONG,,,Alive,246,2022-10-05 13:14:40.692,2022-10-05 13:23:21.094
103.155.217.156:41460,VIET NAM,,,Alive,156,2022-10-05 13:21:06.796,2022-10-05 13:23:21.094
103.155.217.156:41456,VIET NAM,,,Alive,156,2022-10-05 13:21:40.049,2022-10-05 13:23:21.094
103.155.217.156:41476,VIET NAM,,,Alive,230,2022-10-05 13:02:49.212,2022-10-05 13:23:21.094
103.155.217.156:41469,VIET NAM,,,Alive,167,2022-10-05 12:59:02.795,2022-10-05 13:23:21.094
165.154.244.94:80,HONG KONG,,,Alive,230,2022-10-05 13:21:39.049,2022-10-05 13:23:21.089
110.164.3.7:8888,THAILAND,,,Alive,523,2022-10-05 13:08:24.226,2022-10-05 13:23:21.093
103.213.238.194:80,BANGLADESH,,,Alive,336,2022-10-05 13:22:53.485,2022-10-05 13:23:21.094
103.155.217.156:41475,VIET NAM,,,Alive,210,2022-10-05 13:02:48.218,2022-10-05 13:23:21.094
103.155.217.156:41472,VIET NAM,,,Alive,152,2022-10-05 13:03:14.388,2022-10-05 13:23:21.094
42.3.182.149:80,HONG KONG,,,Alive,855,2022-10-05 13:15:50.479,2022-10-05 13:23:21.083
103.155.217.156:41495,VIET NAM,,,Alive,254,2022-10-05 13:22:50.445,2022-10-05 12:37:32.578
103.117.192.174:80,BANGLADESH,,,Alive,296,2022-10-05 13:21:07.303,2022-10-05 13:23:21.095
43.230.123.14:80,BANGLADESH,,,Alive,273,2022-10-05 13:14:40.692,2022-10-05 13:23:21.083
103.155.217.156:41483,VIET NAM,,,Alive,218,2022-10-05 13:02:48.217,2022-10-05 11:58:59.078
218.190.235.175:80,HONG KONG,,,Alive,218,2022-10-05 13:23:58.322,2022-10-05 13:23:21.084
146.19.196.130:80,,,,Alive,211,2022-10-05 13:14:40.691,2022-10-05 13:23:21.091
37.236.59.107:80,IRAQ,,,Alive,1070,2022-10-05 13:22:56.994,2022-10-05 13:23:21.083
35.77.72.200:80,JAPAN,,,Alive,675,2022-10-05 13:21:37.539,2022-10-05 13:23:21.084
37.235.48.19:80,POLAND,,,Alive,6363,2022-10-05 13:09:09.863,2022-10-05 13:23:21.084
103.155.217.156:41485,VIET NAM,,,Alive,175,2022-10-05 13:23:22.158,2022-10-05 11:44:53.766
37.236.59.107:8080,IRAQ,,,Alive,1093,2022-10-05 12:59:08.322,2022-10-05 13:23:21.083
219.78.228.211:80,HONG KONG,,,Alive,625,2022-10-05 13:15:51.984,2022-10-05 13:23:21.084
118.107.44.181:8000,AUSTRALIA,,,Alive,410,2022-10-05 13:21:07.809,2022-10-05 13:23:21.093
41.188.149.79:80,UNITED REPUBLIC OF TANZANIA,,,Alive,1632,2022-10-05 13:21:42.065,2022-10-05 13:23:21.083
187.32.147.196:80,BRAZIL,,,Alive,1488,2022-10-05 13:03:21.894,2022-10-05 13:23:21.087
219.77.188.21:80,HONG KONG,,,Alive,836,2022-10-05 13:15:50.478,2022-10-05 13:23:21.084
147.182.202.202:80,UNITED STATES,,,Alive,871,2022-10-05 12:59:07.305,2022-10-05 13:23:21.091
219.78.194.41:80,HONG KONG,,,Alive,648,2022-10-05 13:22:53.976,2022-10-05 13:23:21.084
164.92.75.10:80,UNITED STATES,,,Alive,1179,2022-10-05 13:21:43.076,2022-10-05 13:23:21.089
103.141.142.1:41317,VIET NAM,,,Alive,160,2022-10-05 13:23:21.146,2022-10-05 13:23:21.095
103.141.142.102:41367,VIET NAM,,,Alive,261,2022-10-05 13:23:22.159,2022-10-05 13:23:21.095
172.105.13.173:80,CANADA,,,Alive,879,2022-10-05 13:08:26.240,2022-10-05 13:23:21.089
103.141.142.153:41416,VIET NAM,,,Alive,304,2022-10-05 12:59:04.301,2022-10-05 13:23:21.095
103.141.142.153:41410,VIET NAM,,,Alive,269,2022-10-05 13:08:23.229,2022-10-05 13:23:21.095
103.141.143.102:41516,VIET NAM,,,Alive,242,2022-10-05 12:59:03.809,2022-10-05 13:23:21.095
20.110.214.83:80,UNITED STATES,,,Alive,820,2022-10-05 13:03:19.391,2022-10-05 13:23:21.085
172.104.111.212:80,JAPAN,,,Alive,1047,2022-10-05 13:22:56.993,2022-10-05 13:23:21.089
103.141.142.153:41417,VIET NAM,,,Alive,164,2022-10-05 13:23:21.652,2022-10-05 13:23:21.095
172.104.144.9:80,GERMANY,,,Alive,894,2022-10-05 13:08:26.240,2022-10-05 13:23:21.089
198.49.68.80:80,UNITED STATES,,,Alive,816,2022-10-05 13:08:26.239,2022-10-05 13:23:21.085
141.95.54.20:80,FRANCE,,,Alive,871,2022-10-05 13:14:43.202,2022-10-05 13:23:21.091
37.236.60.35:8080,IRAQ,,,Alive,1082,2022-10-05 12:59:08.321,2022-10-05 13:23:21.083
47.57.188.208:80,HONG KONG,,,Alive,945,2022-10-05 13:21:10.311,2022-10-05 13:23:21.081
203.198.207.253:80,HONG KONG,,,Alive,703,2022-10-05 13:21:09.307,2022-10-05 13:23:21.085
47.241.245.186:80,SINGAPORE,,,Alive,10777,2022-10-05 13:22:43.423,2022-10-05 13:23:21.081
103.149.162.195:80,GERMANY,,,Alive,2496,2022-10-05 13:24:10.401,2022-10-05 13:23:21.094
165.154.233.164:8080,PHILIPPINES,,,Alive,281,2022-10-05 13:22:51.461,2022-10-05 13:23:21.089
165.154.243.252:80,TAIWAN,,,Alive,1215,2022-10-05 13:08:28.244,2022-10-05 13:23:21.089
18.182.16.56:80,JAPAN,,,Alive,3254,2022-10-05 12:59:39.458,2022-10-05 13:23:21.088
