Host and Port,Country,City,Note,State,Response(ms),Tested At,Updated At
60.51.17.107:80,MALAYSIA,,,(Alive-SSL),4290,2022-10-06 09:06:29.304,2022-10-06 09:12:48.408
103.39.49.46:8080,INDONESIA,,,(Alive-SSL),5324,2022-10-06 09:08:58.418,2022-10-06 09:12:48.421
206.189.126.194:8080,UNITED KINGDOM,,,(Alive-SSL),756,2022-10-06 09:05:41.987,2022-10-06 09:12:48.412
20.114.8.198:3128,UNITED STATES,,,(Alive-SSL),687,2022-10-06 09:08:34.287,2022-10-06 09:12:48.413
83.229.73.175:80,ISRAEL,,,(Alive-SSL),909,2022-10-06 09:12:31.272,2022-10-06 09:12:48.406
165.154.233.164:8080,PHILIPPINES,,,(Alive-SSL),356,2022-10-06 09:08:30.778,2022-10-06 09:12:48.417
103.39.49.10:8080,INDONESIA,,,(Alive-SSL),5284,2022-10-06 09:08:58.418,2022-10-06 09:12:48.421
194.195.112.35:3128,GERMANY,,,(Alive-SSL),896,2022-10-06 09:07:23.975,2022-10-06 09:12:48.414
85.14.243.31:3128,GERMANY,,,(Alive-SSL),934,2022-10-06 09:05:42.497,2022-10-06 09:12:48.406
69.164.193.205:3128,UNITED STATES,,,(Alive-SSL),2478,2022-10-06 09:12:39.283,2022-10-06 09:12:48.407
91.201.215.195:3128,KAZAKHSTAN,,,(Alive-SSL),1140,2022-10-06 09:04:42.175,2022-10-06 09:12:48.406
222.99.52.67:3128,REPUBLIC OF KOREA,,,(Alive-SSL),368,2022-10-06 09:07:19.440,2022-10-06 09:12:48.412
188.165.168.114:8080,FRANCE,,,(Alive-SSL),3181,2022-10-06 09:04:52.229,2022-10-06 09:12:48.415
194.5.193.73:8080,NETHERLANDS,,,(Alive-SSL),5181,2022-10-06 09:05:02.287,2022-10-06 09:12:48.414
161.97.137.115:3127,GERMANY,,,(Alive-SSL),2156,2022-10-06 09:05:48.566,2022-10-06 09:12:48.418
185.125.125.157:80,POLAND,,,(Alive-SSL),821,2022-10-06 09:12:30.777,2022-10-06 09:12:48.416
113.176.92.71:3128,VIET NAM,,,(Alive-SSL),112,2022-10-06 09:07:20.446,2022-10-06 09:12:48.421
141.147.14.19:3128,SWEDEN,,,(Alive-SSL),13384,2022-10-06 09:07:14.426,2022-10-06 09:12:48.419
154.236.189.20:1981,EGYPT,,,(Alive-SSL),1450,2022-10-06 09:12:33.770,2022-10-06 09:12:48.418
161.82.183.156:80,THAILAND,,,(Alive-SSL),1146,2022-10-06 09:08:36.300,2022-10-06 09:12:48.418
144.217.119.85:3207,CANADA,,,(Alive-SSL),4656,2022-10-06 09:12:49.789,2022-10-06 09:12:48.419
62.193.68.85:1976,EGYPT,,,(Alive-SSL),1587,2022-10-06 09:07:27.516,2022-10-06 09:12:48.408
38.242.158.170:3128,UNITED STATES,,,(Alive-SSL),744,2022-10-06 09:05:41.492,2022-10-06 09:12:48.411
95.217.190.230:80,FINLAND,,,(Alive-SSL),931,2022-10-06 09:06:12.189,2022-10-06 09:12:48.405
184.185.105.105:4481,UNITED STATES,,,(Alive-SSL),8137,2022-10-06 09:07:06.908,2022-10-06 09:12:48.416
210.212.227.67:3128,INDIA,,,(Alive-SSL),512,2022-10-06 09:06:10.176,2022-10-06 09:12:48.412
43.228.86.195:8080,THAILAND,,,(Alive-SSL),700,2022-10-06 09:08:58.913,2022-10-06 09:12:48.410
45.224.184.10:8080,ARGENTINA,,,(Alive-SSL),4493,2022-10-06 09:08:55.414,2022-10-06 09:12:48.410
181.23.140.201:999,ARGENTINA,,,(Alive-SSL),3437,2022-10-06 09:07:11.420,2022-10-06 09:12:48.416
103.213.238.194:80,BANGLADESH,,,Alive,328,2022-10-06 09:07:16.428,2022-10-06 09:12:48.421
219.78.194.41:80,HONG KONG,,,Alive,652,2022-10-06 09:08:32.785,2022-10-06 09:12:48.412
103.155.217.156:41485,VIET NAM,,,Alive,261,2022-10-06 09:05:36.997,2022-10-06 08:59:19.168
35.77.72.200:80,JAPAN,,,Alive,703,2022-10-06 09:08:32.785,2022-10-06 09:12:48.411
103.155.217.156:41495,VIET NAM,,,Alive,152,2022-10-06 09:04:37.169,2022-10-06 08:26:17.859
103.155.217.156:41483,VIET NAM,,,Alive,324,2022-10-06 09:05:36.998,2022-10-06 09:05:59.170
110.164.3.7:8888,THAILAND,,,Alive,512,2022-10-06 09:07:19.440,2022-10-06 09:12:48.421
42.3.182.149:80,HONG KONG,,,Alive,617,2022-10-06 09:02:41.147,2022-10-06 09:12:48.410
103.155.217.156:41475,VIET NAM,,,Alive,179,2022-10-06 09:06:08.179,2022-10-06 09:12:48.422
103.155.217.156:41472,VIET NAM,,,Alive,152,2022-10-06 09:12:27.252,2022-10-06 09:12:48.422
103.155.217.156:41476,VIET NAM,,,Alive,160,2022-10-06 09:06:08.178,2022-10-06 09:12:48.422
103.155.217.156:41469,VIET NAM,,,Alive,148,2022-10-06 09:07:16.938,2022-10-06 09:12:48.422
103.155.217.156:41460,VIET NAM,,,Alive,211,2022-10-06 09:08:31.767,2022-10-06 09:12:48.422
103.155.217.156:41456,VIET NAM,,,Alive,152,2022-10-06 09:06:08.178,2022-10-06 09:12:48.422
103.155.217.52:41367,VIET NAM,,,Alive,265,2022-10-06 09:07:16.937,2022-10-06 09:12:48.422
139.99.237.62:80,AUSTRALIA,,,Alive,1098,2022-10-06 09:02:05.489,2022-10-06 09:12:48.419
81.200.123.74:80,RUSSIAN FEDERATION,,,Alive,648,2022-10-06 09:02:03.482,2022-10-06 09:12:48.406
103.117.192.174:80,BANGLADESH,,,Alive,277,2022-10-06 09:02:39.655,2022-10-06 09:12:48.423
43.230.123.14:80,BANGLADESH,,,Alive,261,2022-10-06 09:02:01.475,2022-10-06 09:12:48.410
172.104.111.212:80,JAPAN,,,Alive,1046,2022-10-06 09:02:05.488,2022-10-06 09:12:48.417
172.104.144.9:80,GERMANY,,,Alive,855,2022-10-06 09:02:35.623,2022-10-06 09:12:48.417
165.154.244.94:80,HONG KONG,,,Alive,226,2022-10-06 09:12:27.253,2022-10-06 09:12:48.417
146.19.196.130:80,,,,Alive,210,2022-10-06 09:08:30.778,2022-10-06 09:12:48.418
